Label,DeltaG_3,logTOF,NCBG_HOMO,NCBG_LUMO,NCBG_I,NCBG_A,NCBG_Hardness,NCBG_Softness,NCBG_Electronegativity,NCBG_E_index,NCBG_N_index,NCBG_PEX,CBG_HOMO,CBG_LUMO,CBG_NBO_N,CBG_NI_rel,CBG_NBO_N-1,CBG_fk-,CBG_Nk,CBG_ENF,BB_HOMO,BB_LUMO,BB_wL,BB_wB1,BB_wB5,BB_vNH,BB_iNH,BB_NBO_N
Cat67,3.56676385,-0.452989885,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat68,6.592614534,-2.367819987,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat69,-3.966487385,-1.060142355,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.873365426,2.769848406,-0.84941,2.061807778,-0.25921,-0.5902,-1.216878951,5.611189717,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat70,-3.839102962,-0.593738866,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-8.210223608,0.395381642,7.41,2.33,5.05,3516.8397,103.3394,-0.78109
Cat71,-3.677833027,3.668747455,-8.339749872,1.649282954,6.219247104,0.505206852,2.857020126,0.350015035,3.362226978,1.978384778,0.505462846,15.71220972,-8.514719174,2.762229214,-0.63844,2.42045403,-0.06492,-0.57352,-1.388178795,1.723141016,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat72,1.191012982,-3.851663827,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-9.002347462,3.018288488,-0.83985,1.932825742,-0.18933,-0.65052,-1.257341802,5.992715477,-7.816202536,-0.095784128,9.26,3.6,7.88,3419.0729,0.478,-0.8279
Cat73,6.602654685,-3.05592612,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.623836888,1.349957554,-0.83664,2.311336316,-0.35226,-0.48438,-1.119565085,6.069899142,-7.937837494,0.252521792,8.44,2.7,6.04,3406.0688,0.1858,-0.83147
Cat74,4.827430383,-3.29556736,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.344920038,1.377713182,-0.62757,2.590253166,-0.08879,-0.53878,-1.395576601,3.943269535,-8.790098542,2.264260594,6.01,3.14,5.16,3423.1213,4.6871,-0.83733
Cat75,7.769822307,-2.53524688,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.216210116,2.197592664,-0.63702,2.718963088,-0.59919,-0.03783,-0.102858374,8.82780328,-8.68179717,1.303970288,5.35,1.61,6.04,3390.6067,0.3839,-0.82595
Cat76,0.931851569,-1.355439238,-8.815949372,2.854747974,6.71479391,-0.316958387,3.515876148,0.284424126,3.198917761,1.455266683,0.687159276,28.18082297,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-7.273879334,1.347236414,8.84,1.78,3.61,3481.3778,29.5629,-0.80745
Cat77,-0.446159236,-0.734027884,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-8.209135152,2.867265218,-0.63584,2.726038052,-0.09634,-0.5395,-1.470697529,3.753134164,-9.008606084,3.111895704,3.35,1.63,3.65,3402.2356,1.2361,-0.84305
Cat78,4.009158029,-0.552802071,-8.93350262,1.71159706,6.947206477,0.042340938,3.452432769,0.289650825,3.494773708,1.76881696,0.565349622,14.29654835,-7.411569018,1.46125218,-0.6008,3.523604186,-0.34642,-0.25438,-0.896334433,7.714601473,-7.322043512,0.439191996,6.75,1.82,5.7,3495.9003,41.1409,-0.79823
